date,volume_oil_formation_bbls,volume_gas_formation_mcf,volume_water_formation_bbls
2010-01-01,214,134,685
2010-02-01,288,145,948
2010-03-01,316,180,959
2010-04-01,281,171,930
2010-05-01,293,160,1039
2010-06-01,182,85,654
2010-07-01,277,109,1036
2010-08-01,244,101,1019
2010-09-01,270,114,1025
2010-10-01,242,105,1071
2010-11-01,239,92,996
2010-12-01,247,99,972
2011-01-01,206,77,938
2011-02-01,153,42,744
2011-03-01,142,53,710
2011-04-01,80,45,329
2011-05-01,93,48,328
2011-06-01,51,26,190
2014-04-01,104,68,465
2014-05-01,360,190,1853
2014-06-01,375,165,1934
2014-07-01,373,185,1826
2014-08-01,279,153,2081
2014-09-01,216,143,1739
2014-10-01,123,146,1461
2014-11-01,77,56,1326
2014-12-01,95,32,1273
2015-01-01,78,35,1239
2015-02-01,69,31,1094
2015-03-01,76,35,1316
2015-04-01,79,34,1025
2015-05-01,79,33,1032
2015-06-01,66,32,620
2015-07-01,77,32,157
2015-08-01,59,24,83
2015-09-01,84,24,116
2015-10-01,78,32,127
2015-11-01,54,31,29
2015-12-01,46,31,29
2016-01-01,48,31,30
2016-02-01,48,35,27
2016-03-01,10,9,6
2019-01-01,397,37,207
